temperature,relative_humidity,wind_speed,apparent_temperature,activity_level,exposure_duration,cooling_access,age_group,risk_score,risk_class
37.2,17.0,11.1,35.2,1,2,2,3,56.2,1
18.9,32.5,18.7,16.9,1,1,2,2,11.4,0
24.6,62.1,28.7,22.6,1,3,2,2,35.8,0
28.1,22.4,5.2,26.1,3,2,3,2,60.8,1
34.1,92.8,14.5,43.6,2,3,2,3,79.6,2
19.4,33.2,11.5,17.4,1,1,1,2,5.0,0
37.1,44.2,14.2,39.5,1,1,3,2,56.5,1
39.9,28.1,14.5,39.9,3,2,2,2,72.5,2
43.3,77.1,9.6,55.3,1,1,1,2,76.9,2
27.4,67.4,15.1,28.6,3,1,1,2,38.3,1
34.8,36.0,21.3,33.2,3,1,1,3,52.3,1
19.4,23.8,22.7,17.4,2,1,1,2,11.9,0
47.9,57.3,34.0,58.2,3,1,2,2,98.4,3
37.2,23.9,16.3,35.2,2,3,3,2,69.5,2
33.0,29.3,32.1,31.0,3,1,2,2,53.8,1
34.2,77.3,19.5,40.1,1,1,1,3,53.3,1
44.4,81.5,12.1,56.4,1,3,3,1,94.2,3
40.8,76.3,6.2,52.8,2,2,1,3,86.7,3
30.7,31.9,19.8,28.7,2,1,1,3,35.7,0
33.5,24.7,9.4,31.9,1,2,1,2,33.8,0
20.1,65.5,9.6,19.3,3,3,1,2,34.5,0
22.0,89.8,20.8,21.8,2,2,3,1,33.3,0
20.9,49.5,16.0,18.9,2,2,2,3,34.7,0
28.2,83.9,10.2,32.8,1,1,2,2,40.1,1
25.5,88.9,16.6,27.8,3,2,1,3,53.0,1
45.8,82.9,7.5,57.8,2,1,2,1,81.0,3
29.4,93.8,10.8,35.9,2,1,2,3,60.4,1
39.6,27.4,11.8,39.8,3,2,2,2,73.1,2
19.7,61.7,18.6,17.7,3,1,3,1,30.8,0
38.3,33.8,6.0,40.6,3,1,2,2,71.8,2
30.6,61.7,19.3,31.8,3,1,2,2,49.9,1
27.0,40.3,26.8,25.0,1,1,3,3,38.9,1
20.2,32.1,10.8,18.2,3,3,3,2,50.0,1
39.1,63.9,34.6,43.1,2,1,3,2,76.1,2
37.9,90.1,6.4,49.9,1,1,2,2,66.3,2
24.1,65.7,10.7,24.5,2,3,3,1,43.3,1
30.7,37.1,2.1,31.7,2,2,1,2,41.2,1
18.3,21.0,31.1,16.3,3,2,3,2,37.1,1
22.4,25.2,12.2,20.4,3,2,3,3,50.8,1
21.1,77.4,31.2,19.1,2,2,1,3,27.8,0
43.9,93.1,28.8,55.9,3,1,2,2,100.0,3
43.9,79.9,10.8,55.9,2,1,3,3,98.3,3
24.7,80.3,17.2,25.6,1,2,1,1,20.5,0
43.9,92.4,11.2,55.9,2,1,3,2,97.3,3
46.2,24.2,34.0,44.2,1,3,1,1,55.5,1
27.4,63.5,18.9,27.3,1,2,1,2,29.4,0
18.1,89.0,19.8,16.3,2,2,2,2,26.3,0
27.9,40.1,30.0,25.9,2,1,1,2,28.8,0
30.1,38.7,6.2,30.3,2,3,2,3,57.6,1
34.4,15.0,11.5,32.4,2,2,2,2,50.5,1
